k,a_mm,a_over_D,is_valid
0.757290969899666,0.654726705897381,0.0687738136446829,1
0.76056856187291,0.657152495814707,0.0690286235099483,1
0.763846153846154,0.659617299272977,0.0692875314362371,1
0.767123745819398,0.662122329561701,0.0695506648699266,1
0.770401337792642,0.66466885605005,0.0698181571481145,1
0.773678929765886,0.667258207623529,0.0700901478596144,1
0.77695652173913,0.669891776384609,0.0703667832336774,1
0.780234113712374,0.6725710216418,0.0706482165590126,1
0.783511705685619,0.675297474214325,0.0709346086359585,1
0.786789297658863,0.67807274108257,0.0712261282649758,1
0.790066889632107,0.680898510417887,0.0715229527749882,1
0.793344481605351,0.683776557029152,0.0718252685954992,1
0.796622073578595,0.686708748267848,0.0721332718768748,1
0.799899665551839,0.689697050438357,0.072447169163693,1
0.803177257525084,0.692743535765772,0.0727671781266567,1
0.806454849498328,0.695850389979896,0.0730935283592328,1
0.809732441471572,0.699019920581413,0.0734264622459467,1
0.813010033444816,0.702254565864525,0.0737662359101392,1
0.81628762541806,0.705556904779932,0.0741131202499928,1
0.819565217391304,0.708929667732965,0.0744674020727905,1
0.822842809364548,0.712375748424378,0.0748293853386952,1
0.826120401337793,0.715898216855853,0.0751993925268753,1
0.829397993311037,0.719500333639197,0.0755777661385711,1
0.832675585284281,0.723185565767796,0.0759648703537601,1
0.835953177257525,0.726957604031726,0.0763610928604754,1
0.839230769230769,0.730820382284518,0.0767668468786258,1
0.842508361204013,0.734778098800775,0.0771825734034427,1
0.845785953177258,0.738835240000397,0.0776087436975206,1
0.849063545150502,0.742996606858281,0.0780458620649455,1
0.852341137123746,0.747267344369302,0.0784944689463552,1
0.85561872909699,0.751652974498734,0.0789551443801191,1
0.858896321070234,0.756159433120207,0.0794285118823747,1
0.862173913043478,0.760793111529081,0.0799152428076765,1
0.865451505016722,0.765560903222152,0.0804160612628311,1
0.868729096989967,0.770470256758564,0.080931749659513,1
0.872006688963211,0.775529235666782,0.0814631550070149,1
0.875284280936455,0.780746586544659,0.0820111960656154,1
0.878561872909699,0.786131816722016,0.0825768715044134,1
0.881839464882943,0.791695283127915,0.0831612692361255,1
0.885117056856187,0.797448294341174,0.083765577136678,1
0.888394648829431,0.803403228219692,0.0843910954012281,1
0.891672240802676,0.809573668024157,0.0850392508428737,1
0.89494983277592,0.815974560604229,0.0857116135088476,1
0.898227424749164,0.822622401039079,0.0864099160755335,1
0.901505016722408,0.829535449171731,0.0871360765936692,1
0.904782608695652,0.836733984818026,0.0878922252960111,1
0.908060200668896,0.844240610162143,0.0886807363615697,1
0.91133779264214,0.852080610103013,0.0895042657671232,1
0.914615384615385,0.860282384272153,0.090365796667243,1
0.917892976588629,0.868877968360073,0.0912686941554698,1
0.921170568561873,0.877903667629158,0.0922167718097854,1
0.924448160535117,0.887400832579768,0.0932143731701437,1
0.927725752508361,0.897416816436119,0.0942664723147184,1
0.931003344481605,0.908006167558321,0.095378799113269,1
0.93428093645485,0.919232128762867,0.0965579967187886,1
0.937558528428094,0.93116854243868,0.0978118216847353,1
0.940836120401338,0.943902299316949,0.0991494011887551,1
0.944113712374582,0.957536526207981,0.10058156787899,1
0.947391304347826,0.972194794387606,0.102121301931471,1
0.95066889632107,0.988026762977745,0.1037843238422,1
0.953946488294314,1.00521588038046,0.105589903401309,1
0.957224080267558,1.02399010414176,0.107561985729177,1
0.960501672240803,1.04463716158923,0.109730794284583,1
0.963779264214047,1.06752684276362,0.112135172559203,1
0.967056856187291,1.09314455642209,0.114826108867866,1
0.970334448160535,1.12214364887983,0.117872232025193,1
0.973612040133779,1.15543047407912,0.121368747277218,1
0.976889632107024,1.19430995313014,0.125452726169133,1
0.980167224080267,1.24075092806442,0.1303309798387,1
0.983444816053512,1.29791076627964,0.136335164525172,1
0.986722408026756,1.37129079050507,0.144043150263137,1
0.99,1.47169972898662,0.154590307666662,1
